graph_poss,eucd_congru_med,eucd_inconr_med,eucd_ic_med_diff,wspd_congru_med,wspd_inconr_med,wspd_ic_med_diff,comb_congru_med,comb_inconr_med,comb_ic_med_diff,adj_m
"((110, 330), (110, 660), (330, 220), (550, 110), (550, 770), (660, 110), (660, 220), (770, 220))",,,,243.0,-101.0,344.0,307.0,-152.0,459.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 330), (110, 660), (440, 110), (550, 110), (550, 330), (660, 110), (660, 220), (770, 220))",425.0,-206.0,631.0,,,,328.0,-124.0,452.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 330), (110, 660), (440, 110), (550, 110), (550, 440), (660, 110), (660, 220), (770, 220))",425.0,-210.0,636.0,237.0,-74.0,311.0,331.0,-142.0,474.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 330), (110, 660), (440, 110), (550, 110), (550, 550), (660, 110), (660, 220), (770, 220))",401.0,-212.0,614.0,,,,321.0,-127.0,448.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 330), (110, 660), (440, 110), (550, 110), (550, 660), (660, 110), (660, 220), (770, 220))",,,,295.0,-89.0,385.0,351.0,-140.0,492.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 330), (110, 660), (440, 110), (550, 110), (550, 770), (660, 110), (660, 220), (770, 220))",433.0,-180.0,613.0,371.0,-92.0,464.0,402.0,-136.0,538.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 440), (110, 660), (330, 220), (440, 110), (440, 330), (550, 110), (660, 110), (660, 220))",317.0,-289.0,606.0,,,,,,,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 440), (220, 770), (330, 110), (440, 110), (440, 440), (550, 110), (550, 220), (660, 220))",390.0,-219.0,609.0,,,,282.0,-148.0,431.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 550), (220, 220), (440, 440), (550, 440), (660, 110), (660, 550), (660, 660), (660, 770))",,,,228.0,-110.0,338.0,266.0,-186.0,452.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 660), (220, 220), (440, 440), (550, 440), (660, 220), (660, 550), (660, 660), (660, 770))",,,,185.0,-124.0,309.0,,,,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
