subject_id,nodepos_spatialpos_norel,rt_spatialpos_norel,relations_spatialpos_rel,rt_spatialpos_rel,consc_confratings_spatialpos,clar_confratings_spatialpos,diff_confratings_spatialpos,conf_confratings_spatialpos,freeeval_spatialpos,attempts_spatialpos_rel
Qhc77d4bh03jukv6vv3sr1yc9Q,"[[512, 533], [643, 422], [376, 300], [115, 420], [769, 423], [243, 420], [378, 420], [510, 422]]",112.406,"[[0, 1, 1, 1, 1, 1, 1, 1], [1, 0, 0, 1, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [1, 1, 0, 0, 1, 1, 1, 1], [1, 1, 0, 1, 0, 1, 1, 0], [1, 1, 1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 1, 0, 1], [1, 1, 0, 1, 0, 1, 1, 0]]",306.927,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,"I arranged the flowers to form a graph. That's it.   

Some feedback though: I found it hard to create the connections between flowers without moving them. I think it'd be much easier if you could create the paths by simply drawing a line between flowers, same as in part 1. ",1
Qaghonrdjm26hem6zgs0iztfcQ,"[[305, 397], [144, 817], [380, 158], [436, 55], [505, 567], [629, 171], [505, 152], [643, 49]]",53.613,"[[0, 1, 0, 1, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 1, 0, 1, 0, 0], [1, 1, 0, 0, 1, 0, 0, 0]]",93.244,Fairly conscious/deliberative,Fully clear,Hard,Rather unconfident,"I tried to remember the color pairs so that the green line looked familiar in length, position, and angle.",1
Qqqdb57ubrb5a1cjcyswxwo8dQ,"[[519, 461], [519, 461], [521, 462], [520, 462], [521, 462], [520, 463], [521, 461], [520, 461]]",431.342,"[[0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0, 1, 0], [1, 0, 1, 1, 0, 1, 0, 1], [1, 1, 0, 0, 1, 0, 1, 0]]",224.605,Fully conscious/deliberative,Somewhat clear,Quite easy,Rather confident,"It was not clear whether the new routes for the session today should count as known routes or if only the routes in the first session should count as known. I opted to consider only the routes in session 1 as known routes, but I could understand if the routes from today should now be counted as known because they were learned. I had to reposition my placements because my logical placements were entirely overlapped and I could not see any routes. The instructions on the prior task did not indicate a spacing requirement. I believed the most logical placement would reduce the distance between movements. ",1
Qs9u9i32ww1j4k18vuzriicg7Q,"[[207, 163], [377, 139], [330, 445], [356, 339], [206, 312], [480, 325], [468, 432], [512, 219]]",16.389,"[[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 1, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]",45.578,Fairly conscious/deliberative,Somewhat clear,Quite easy,Rather confident,again i tried to rember the known combinations from yesterday,1
Qq8p9jrr430l497ac5zdj6qjeQ,"[[495, 233], [581, 357], [526, 808], [214, 510], [238, 617], [430, 773], [603, 731], [272, 160]]",17.821,"[[0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 1, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0]]",44.083,Fully conscious/deliberative,Fully clear,Quite hard,Rather unconfident,I used visual memory and tried recalling how the bee moved,1
Qog3gba4r2sgqgowky5ja0ptzQ,"[[218, 562], [491, 705], [169, 166], [262, 334], [468, 364], [376, 214], [441, 107], [577, 217]]",49.448,"[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]",57.945,Fully conscious/deliberative,Fully clear,Easy,Rather confident,I pictured the flowers from yesterday and where I remembered the bee flying from,1
Q8hawdaz510oac2zrhkt543r7Q,"[[408, 312], [110, 140], [237, 522], [386, 439], [124, 311], [564, 330], [222, 395], [269, 228]]",55.847,"[[0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 1, 0, 0, 0, 1, 1, 0], [0, 1, 1, 1, 1, 0, 1, 0], [0, 0, 1, 1, 1, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0]]",147.263,Fully conscious/deliberative,Somewhat clear,Quite hard,Rather unconfident,"I tried my best to remember the known routes and colours, I attempted to lay the flowers out so that the connections flowed in a logical way from one to another. This was quite challenging as did not feel I accurately remembered the known connections. ",1
Q9l15mtch6q0mmkzlx0g448iyQ,"[[744, 813], [278, 99], [486, 85], [812, 705], [524, 400], [684, 668], [594, 752], [119, 225]]",34.115,"[[0, 1, 1, 0, 1, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0, 1, 0]]",47.998,Fully conscious/deliberative,Somewhat unclear,Hard,Rather unconfident,Not sure on how yo highlight and position based of memory. but tried my utmost best to recall,1
Qifm5p7xchrfjn6361vlxknolQ,"[[295, 644], [449, 98], [644, 598], [496, 601], [342, 491], [534, 718], [348, 723], [96, 628]]",82.422,"[[0, 1, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 0, 0]]",314.281,Fairly intuitive/unconscious,Fully clear,Quite hard,Rather confident,Used the knowns i remembered from yesterday and connected by the green light.,1
Qztbk8kxiw3fpu351calbggmuQ,"[[752, 177], [479, 787], [544, 53], [451, 405], [610, 490], [717, 384], [788, 487], [410, 207]]",24.128,"[[0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",27.222,Fully conscious/deliberative,Somewhat clear,Easy,Rather confident,,1
