subject_id,trial_name,known_learnrelquest,pair_learnrelquest,trial_ind_learnrelquest,rt_learnrelquest,response_learnrelquest,acc_learnrelquest,trial_index,type
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[5, 2]",0.0,4.36,1,1.0,99,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[6, 7]",1.0,4.771,0,1.0,100,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[3, 5]",2.0,5.556,1,0.0,101,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[5, 6]",3.0,5.227,0,1.0,102,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[5, 7]",4.0,6.577,1,1.0,103,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[7, 0]",5.0,4.222,0,1.0,104,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[0, 2]",6.0,5.72,0,0.0,105,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[7, 1]",7.0,1.709,0,1.0,106,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[1, 0]",8.0,3.965,1,1.0,107,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[5, 3]",9.0,3.605,0,1.0,108,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[4, 7]",10.0,2.492,1,1.0,109,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[1, 3]",11.0,6.673,1,1.0,110,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[7, 2]",12.0,4.484,1,1.0,111,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[3, 6]",13.0,2.255,0,0.0,112,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[1, 7]",14.0,2.634,0,1.0,113,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[2, 4]",15.0,5.061,1,1.0,114,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[4, 3]",16.0,5.019,1,1.0,115,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[1, 5]",17.0,3.212,0,0.0,116,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[2, 1]",18.0,2.272,0,0.0,117,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[0, 7]",19.0,9.021,0,1.0,118,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,0.0,"[3, 0]",20.0,6.708,0,0.0,119,first
Q3uhntu7arr154uufp5whnp5fQ,learn_relquest,1.0,"[6, 2]",21.0,6.586,1,0.0,120,first
