subject_id,group_name,trial_ind_congrtest,pathpair_congrtest,acc_congrtest,rt_congrtest,response,consc_confratings_congrtest,clar_confratings_congrtest,diff_confratings_congrtest,conf_confratings_congrtest,freeeval_congrtest
Q1gq5kxl69j044m8bx2fry24aQ,rotational,0.0,"[[5, 6, 7, 1], [4, 1, 7]]",1.0,8.535,1,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,1.0,"[[6, 5, 3], [6, 7, 1, 4]]",1.0,5.677,0,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,2.0,"[[4, 1, 7, 6], [2, 6, 7]]",0.0,5.886,0,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,"[[2, 6, 7], [6, 7, 1, 4]]",0.0,3.082,1,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,4.0,"[[6, 7, 1, 4], [6, 5, 3]]",1.0,3.041,1,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,5.0,"[[0, 7, 1, 4], [5, 6, 7]]",0.0,6.172,0,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,6.0,"[[1, 7, 0], [1, 7, 6, 5]]",1.0,4.041,0,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,7.0,"[[1, 7, 6, 5, 3], [2, 6, 7, 1]]",1.0,3.867,1,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,8.0,"[[2, 6, 7, 1], [0, 7, 1]]",1.0,3.367,1,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,9.0,"[[0, 7, 1], [0, 7, 6, 2]]",1.0,4.02,0,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,10.0,"[[3, 5, 6, 7, 1], [3, 5, 6, 2]]",1.0,5.213,1,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,11.0,"[[5, 6, 7, 0], [7, 1, 4]]",1.0,5.045,1,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
Q1gq5kxl69j044m8bx2fry24aQ,rotational,12.0,"[[0, 7, 6, 5, 3], [4, 1, 7, 6]]",1.0,1.975,1,Fully conscious/deliberative,Fully clear,Easy,Rather confident,Thinking of flower combinations that the bee went to.
