subject_id,group_name,trial_ind_congrtest,pathpair_congrtest,acc_congrtest,rt_congrtest,response,consc_confratings_congrtest,clar_confratings_congrtest,diff_confratings_congrtest,conf_confratings_congrtest,freeeval_congrtest
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,0.0,"[[3, 5, 6], [0, 7, 6, 2]]",0.0,11.235,1,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,1.0,"[[1, 7, 6], [1, 7, 6, 2]]",0.0,3.564,1,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,2.0,"[[6, 7, 1], [4, 1, 7, 0]]",1.0,2.338,0,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,3.0,"[[6, 5, 3], [4, 1, 7, 6]]",0.0,2.523,1,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,4.0,"[[5, 6, 7], [0, 7, 1, 4]]",1.0,2.122,0,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,5.0,"[[3, 5, 6, 7, 1], [4, 1, 7, 6]]",1.0,2.616,1,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,6.0,"[[2, 6, 7, 1], [3, 5, 6]]",1.0,2.055,1,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,7.0,"[[3, 5, 6, 7], [5, 6, 7, 1, 4]]",1.0,2.497,0,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,8.0,"[[4, 1, 7], [5, 6, 7, 1]]",0.0,1.717,1,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
Q0h9kyyrr0jdz4c6q0ga8fbmvQ,unconstrained,9.0,"[[1, 7, 6, 2], [0, 7, 1]]",1.0,4.397,1,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,
