subject_id,nodepos_spatialpos_norel,rt_spatialpos_norel,relations_spatialpos_rel,rt_spatialpos_rel,consc_confratings_spatialpos,clar_confratings_spatialpos,diff_confratings_spatialpos,conf_confratings_spatialpos,freeeval_spatialpos,attempts_spatialpos_rel
Qezcwpkbg4ltoh1iznaextib5Q,"[[139, 198], [527, 105], [296, 196], [531, 216], [406, 81], [405, 197], [278, 93], [140, 93]]",33.469,"[[7, 0], [6, 0], [3, 1], [3, 5], [3, 4], [6, 2], [6, 4], [5, 4], [4, 0]]",46.476,Fully conscious/deliberative,Somewhat clear,Hard,Unconfident,Again I tried to remember which colours were pairs and then positioned those colours close to each other.,1
Q36qn1sdyeuj9vfy53b7ttbpfQ,"[[711, 463], [714, 166], [525, 451], [546, 171], [177, 440], [342, 158], [344, 435], [162, 156]]",46.927,"[[0, 1], [2, 3], [6, 5], [4, 7], [4, 5], [4, 3], [4, 1], [4, 0], [7, 6], [7, 5], [7, 2], [7, 0], [7, 3], [7, 1], [5, 2], [5, 0], [5, 1], [5, 3], [3, 6], [3, 0], [3, 1], [1, 2]]",83.009,Fairly intuitive/unconscious,Fully clear,Quite easy,Rather confident,I put the flowers adjacent to most visited but in retrospect I would have done this in a circle.,1
Qx5jlbaptoa196ahbqlmo3hn1Q,"[[455, 318], [276, 478], [695, 430], [394, 538], [390, 409], [598, 514], [576, 389], [483, 472]]",29.979,"[[7, 0], [7, 6], [7, 4], [3, 5], [2, 6], [1, 7], [5, 1]]",36.948,Fairly conscious/deliberative,Fully clear,Quite hard,Rather confident,I tried to remember the connections,1
Q3ffdlj86ecxfcs8mpqzvobsmQ,"[[348, 288], [194, 504], [552, 498], [193, 133], [393, 539], [441, 105], [541, 295], [163, 332]]",182.625,"[[3, 5], [7, 0], [6, 7], [2, 6], [5, 6], [7, 1], [4, 1]]",177.032,Fully conscious/deliberative,Somewhat clear,Quite hard,Rather confident,As before I just tried to remember the various paths of the bee that I learned from the previous study.,1
Qcn39qwbwepty860pzdnrhydiQ,"[[811, 196], [758, 96], [391, 592], [290, 612], [287, 200], [518, 141], [567, 422], [446, 406]]",25.808,"[[0, 1], [5, 4], [7, 6], [7, 3], [3, 2], [6, 5], [5, 1]]",18.631,Fully conscious/deliberative,Somewhat clear,Quite easy,Confident,I just tried to make a clear path of joining the flowers together,1
Q0ww7l1cbyjw8hbduuj54g0tfQ,"[[530, 133], [672, 117], [658, 348], [679, 599], [398, 552], [388, 734], [604, 755], [397, 113]]",85.683,"[[7, 0], [0, 1], [4, 1], [4, 3], [5, 3], [5, 6], [6, 2]]",62.264,Fully conscious/deliberative,Somewhat clear,Quite easy,Confident,"Same as before, there wasn’t any strategy. I was doing it from my memory",1
Q2yrmj1s75mkd6pt1zbx2sr9xQ,"[[297, 344], [589, 470], [691, 374], [319, 226], [672, 245], [559, 178], [457, 287], [463, 435]]",147.367,"[[6, 5], [6, 7], [6, 4], [6, 2], [6, 1], [7, 0], [5, 0], [7, 5], [5, 3], [7, 4], [7, 2], [7, 1], [5, 4], [5, 1], [4, 2], [1, 2], [1, 4]]",133.021,Fully conscious/deliberative,Fully clear,Quite easy,Confident,"I thought and tried to remember colors which paired to each other, and I put them close to each other so that the path would be shorter for the bee.",1
Qh7nowwjk2t863yr19nsx3br1Q,"[[434, 620], [506, 298], [697, 175], [690, 403], [493, 429], [741, 556], [800, 321], [592, 657]]",63.347,"[[1, 4], [4, 0], [0, 7], [7, 5], [5, 3], [3, 6], [6, 2], [2, 1]]",88.501,Fairly conscious/deliberative,Fully clear,Quite easy,Confident,made the connection from one known pair to another,1
Qzck5cevsqxmr5iny2ho5xb9nQ,"[[400, 243], [317, 249], [578, 238], [738, 242], [651, 237], [228, 250], [489, 243], [149, 254]]",70.638,"[[4, 3], [6, 2], [1, 0], [7, 6]]",191.19,Fully conscious/deliberative,Somewhat clear,Quite hard,Rather unconfident,I tried to recall the known pairs and draw the line in that direction.,6
Qtacpqepqpxvqmnvzbjeegyl1Q,"[[213, 311], [170, 630], [590, 365], [355, 364], [444, 536], [561, 112], [458, 673], [808, 450]]",28.546,"[[5, 0], [0, 6], [6, 7], [7, 2], [2, 4], [4, 3], [3, 1]]",109.947,Fairly conscious/deliberative,Fully clear,Quite hard,Rather confident,"I positioned each flower at different place in the way that was reasonable to me the connected them as they would pair on the meadow, everything was clear and understandable",1
